Key,Default text,Translation English,Translation Español,Translation Português
ui.elements,Elements,Elements,Elementos,Elementos
ui.structural,Structural,Structural,Estructurales,Estruturais
ui.vitrine_date,Vitrine date,Window of Knowledge date,Fecha de la vitrina,Data da vitrine
ui.vitrine_date_hint,Shown at the bottom of the hero.,Shown at the bottom of the hero.,Se muestra en la parte inferior del hero.,Exibida na parte inferior do hero.
ui.vitrine_date_size,Size (px),Size (px),Tamaño (px),Tamanho (px)
ui.vitrine_date_color,Color,Color,Color,Cor
ui.vitrine_date_align,Alignment,Alignment,Alineación,Alinhamento
ui.align_left,Left,Left,Izquierda,Esquerda
ui.align_center,Center,Center,Centro,Centro
ui.align_right,Right,Right,Derecha,Direita
ui.search_elements,Search element...,Search elements...,Buscar elementos...,Buscar elementos...
ui.no_elements_found,No elements found.,No elements found.,No se encontraron elementos.,Nenhum elemento encontrado.
ui.settings,Settings,Settings,Configuración,Configurações
ui.settings_empty,Click an element on the canvas to edit its settings.,Click an element to edit its settings,Haga clic en un elemento para editar su configuración,Clique em um elemento para ajustar suas configurações
ui.content_tab,Content,Content,Contenido,Conteúdo
ui.style_tab,Styles,Styles,Estilos,Estilos
ui.canvas_placeholder,Drag elements here,Drag elements here,Arrastre los elementos aquí,Arraste os elementos para cá
ui.template_picker_title,Initial template,Initial template,Plantilla inicial,Modelo inicial
ui.template_picker_hint,Or drag containers from the sidebar to start from scratch,Or drag containers from the sidebar to start from scratch,O arrastre contenedores de la barra lateral para empezar de cero,Ou arraste containers da sidebar para começar do zero
ui.template_complete_name,Complete showcase,Complete Window of Knowledge,Vitrina completa,Vitrine Completa
ui.template_complete_desc,Highlights + Text + Toggle + Text + Banner,Highlights + Text + Toggle + Text + Banner,Destacados + Texto + Toggle + Texto + Banner,Aranha + Texto + Toggle + Texto + Banner
ui.collapse_elements_panel,Collapse elements panel,Collapse elements panel,Contraer el panel de elementos,Recolher painel de elementos
ui.show_elements_panel,Show elements panel,Show elements panel,Mostrar el panel de elementos,Exibir painel de elementos
ui.collapse_settings_panel,Collapse settings panel,Collapse settings panel,Contraer el panel de configuración,Recolher painel de configurações
ui.show_settings_panel,Show settings panel,Show settings panel,Mostrar el panel de configuración,Exibir painel de configurações
ui.close_settings_panel,Close panel,Collapse settings panel,Cerrar el panel de configuración,Fechar painel de configurações
ui.builder_title,Vitrine Builder,Window of Knowledge Builder,Constructor de Vitrinas del Conocimiento,Construtor de Vitrines do Conhecimento
ui.hero_title,Vitrine Hero,Window of Knowledge Hero,Hero de la Vitrina del Conocimiento,Hero da Vitrine
ui.page_custom_css,Custom vitrine CSS,Custom Window of Knowledge CSS,CSS personalizado de la Vitrina del Conocimiento,CSS personalizado da Vitrine do Conhecimento
ui.clone_to_language,Clone to language,Clone to language,Clonar a otro idioma,Clonar para outro idioma
ui.clone_to_language_help,Creates or updates the Polylang translation with the same layout and content.,Creates or updates the translation with the same layout and content.,Crea o actualiza la traducción con el mismo diseño y contenido.,Cria ou atualiza a tradução com o mesmo layout e conteúdo.
ui.clone_success,Vitrine cloned. Opening translation…,Window of Knowledge cloned. Opening translation,Vitrina del Conocimiento clonada. Abriendo la traducción,Vitrine do Conhecimento clonada. Abrindo a tradução
ui.clone_error,Could not clone vitrine.,Could not clone the Window of Knowledge,No se pudo clonar la Vitrina del Conocimiento,Não foi possível clonar a Vitrine do Conhecimento
ui.translations_page_title,Builder translations,Builder translations,Traducciones del constructor de Vitrinas del Conocimiento,Traduções do Construtor de Vitrines do Conhecimento
ui.translations_menu,Translations,Translations,Traducciones,Traduções
ui.container_default,Container,Container,Contenedor,Contêiner
ui.translations_page_intro,Override element names and builder interface strings per language. Works with Polylang and standard WordPress translations (.po/.mo).,Override element names and builder interface strings for each language. Works with Polylang and standard WordPress translations (.po/.mo).,Sobrescriba los nombres de los elementos y los textos de la interfaz del constructor para cada idioma. Funciona con Polylang y con las traducciones estándar de WordPress (.po/.mo).,Substitua os nomes dos elementos e os textos da interface do construtor para cada idioma. Funciona com o Polylang e com as traduções padrão do WordPress (.po/.mo).
ui.translations_save,Save translations,Save translations,Guardar traducciones,Salvar traduções
ui.translations_saved,Translations saved.,Translations saved,Traducciones guardadas,Traduções salvas
ui.translations_language,Language,Language,Idioma,Idioma
ui.translations_key,Key,Translation key,Clave de traducción,Chave de tradução
ui.translations_default,Default text,Default text,Texto predeterminado,Texto padrão
ui.translations_value,Translation,Translation,Traducción,Tradução
ui.translations_filter,Filter strings…,Filter translation strings…,Filtrar textos de traducción…,Filtrar textos de tradução…
ui.polylang_strings_hint,Strings are also registered in Polylang → String translations (group: Builder Vitrine).,Strings are also registered in Polylang → String translations (group: Window of Knowledge Builder).,Las cadenas también se registran en Polylang → Traducciones de cadenas (grupo: Constructor de Vitrinas del Conocimiento).,Os textos também são registrados em Polylang → Traduções de textos (grupo: Construtor de Vitrines do Conhecimento).
ui.translations_import_title,Import CSV,Import CSV,Importar CSV,Importar CSV
